"","Race_recode_W_B_AI_API","Age_recode_with_single_ages_and_85","Sex","Site_recode_ICDO3/WHO_2008","AgeAdjusted_Rate","Standard_Error","Lower_Confidence_Interval","Upper_Confidence_Interval","Count","Population"
"21816","White","71 years","Male and female","Chronic Lymphocytic Leukemia","24.1","0.7","22.8","25.5",1203,4992664
"22122","White","72 years","Male and female","Chronic Lymphocytic Leukemia","25.2","0.7","23.8","26.7",1215,4820022
"22428","White","73 years","Male and female","Chronic Lymphocytic Leukemia","25.6","0.7","24.1","27.1",1195,4675431
"22734","White","74 years","Male and female","Chronic Lymphocytic Leukemia","27.7","0.8","26.2","29.3",1254,4525223
"23040","White","75 years","Male and female","Chronic Lymphocytic Leukemia","29.8","0.8","28.2","31.5",1300,4360771
"23346","White","76 years","Male and female","Chronic Lymphocytic Leukemia","31.4","0.9","29.8","33.2",1336,4251878
"23652","White","77 years","Male and female","Chronic Lymphocytic Leukemia","31.9","0.9","30.2","33.7",1309,4100244
"23958","White","78 years","Male and female","Chronic Lymphocytic Leukemia","33.0","0.9","31.2","34.8",1303,3950832
"24264","White","79 years","Male and female","Chronic Lymphocytic Leukemia","34.6","1.0","32.8","36.5",1316,3802009
"24570","White","80 years","Male and female","Chronic Lymphocytic Leukemia","32.5","0.9","30.7","34.4",1173,3607037
"24876","White","81 years","Male and female","Chronic Lymphocytic Leukemia","36.3","1.0","34.3","38.4",1236,3403111
"25182","White","82 years","Male and female","Chronic Lymphocytic Leukemia","35.9","1.1","33.9","38.1",1139,3169277
"25488","White","83 years","Male and female","Chronic Lymphocytic Leukemia","36.9","1.1","34.7","39.2",1077,2917799
"25794","White","84 years","Male and female","Chronic Lymphocytic Leukemia","38.3","1.2","36.0","40.7",1019,2659547
"26100","White","85+ years","Male and female","Chronic Lymphocytic Leukemia","39.9","0.5","38.9","41.0",5714,14305682
"26406","White","Unknown","Male and female","Chronic Lymphocytic Leukemia","NA","NA","NA","NA",0,0
